Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Ret.Time	Amount	Rel.Area 	Area	Height
25	633_120_Sept_SPK	Spiked	3.307	5202.1149	93.3	62.605	609.29	4.653	207.2086	2.88	1.93	14.05
26	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
27	Standard 1	Check Standard	3.327	5.0851	91.96	6.1605	63.45	4.667	0.5038	7.05	0.4723	3.44
28	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
29	440_10_Sept	Unknown	3.31	5122.3995	88.76	62.0567	603.78	4.637	542.1731	7.27	5.0836	35.84
30	440_20_Sept	Unknown	3.303	5195.7739	88.47	62.9456	612.05	4.627	574.5717	7.57	5.3874	37.87
31	440_40_Sept	Unknown	3.307	5336.9144	92.81	64.6555	628.2	4.653	225.7298	3.04	2.1165	15.37
32	440_80_Sept	Unknown	3.31	5088.068	95.27	61.6407	599.82	4.67	19.446	0.28	0.1823	1.25
33	440_120_Sept	Unknown	3.31	4875.3277	94.91	59.0634	575.02	4.67	28.1268	0.42	0.2637	1.85
34	441_10_Sept	Unknown	3.307	5327.4407	89.47	64.5407	626.62	4.637	499.9614	6.5	4.6878	33.18
35	441_20_Sept	Unknown	3.31	4956.5508	91.78	60.0474	583.36	4.653	262.0551	3.76	2.4571	17.83
36	441_40_Sept	Unknown	3.307	5097.8969	90.75	61.7598	600.5	4.643	358.0589	4.93	3.3573	24.12
37	441_80_Sept	Unknown	3.307	4604.7967	95.04	55.786	543.84	n.a.	n.a.	n.a.	n.a.	n.a.
38	441_80_Sept_DUP	Unknown	3.307	4599.5843	95.04	55.7229	543.53	n.a.	n.a.	n.a.	n.a.	n.a.
39	441_120_Sept	Unknown	3.31	4658.3616	94.23	56.4349	548.95	4.667	72.161	1.13	0.6766	4.69
40	441_120_Sept_SPK	Spiked	3.307	4630.8406	91.26	55.73	542.82	4.653	273.3538	4.17	2.5461	18.42
41	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
42	Standard 1	Check Standard	3.323	5.0856	92.03	6.1611	63.14	4.667	0.4957	6.94	0.4648	3.38
43	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
44	442_10_Sept	Unknown	3.303	5994.7814	88.95	72.6254	701.81	4.627	607.7802	6.98	5.6987	39.76
45	442_20_Sept	Unknown	3.307	5691.063	89.92	68.9459	665.79	4.64	463.8355	5.67	4.3491	30.9
46	442_40_Sept	Unknown	3.307	4928.7293	94.28	59.7104	580.57	4.667	35.202	0.52	0.3301	2.34
47	442_80_Sept	Unknown	3.307	4729.0399	93.59	57.2912	556.82	4.667	59.195	0.91	0.555	3.74
48	442_120_Sept	Unknown	3.307	5065.5505	90.42	61.3679	596.46	4.647	329.7492	4.56	3.0918	22.25
49	443_10_Sept	Unknown	3.307	5582.3742	91.02	67.6291	654.34	4.647	365.8575	4.62	3.4304	24.6
50	443_20_Sept	Unknown	3.307	5178.9882	92.5	62.7422	607.92	4.66	185.3345	2.56	1.7378	12.59
51	443_40_Sept	Unknown	3.307	5223.1002	93.59	63.2766	614.04	4.663	117.227	1.63	1.0992	7.95
52	443_80_Sept	Unknown	3.307	5126.1243	93.63	62.1018	602.49	4.663	85.8839	1.21	0.8053	5.58
53	443_80_Sept_DUP	Unknown	3.31	5018.716	93.6	60.8006	589.73	4.67	83.9845	1.21	0.7875	5.45
54	443_120_Sept	Unknown	3.307	4895.9597	93.44	59.3134	576.12	4.663	89.3355	1.32	0.8376	5.8
55	443_120_Sept_SPK	Spiked	3.307	4881.6335	90.71	58.7482	570.77	4.65	286.2503	4.12	2.6662	19.23
56	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
57	Standard 1	Check Standard	3.327	5.0501	91.99	6.118	62.63	4.67	0.4925	6.94	0.4618	3.35
58	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
59	450_10_Sept	Unknown	3.307	5407.4229	89.34	65.5096	634.33	4.64	474.0134	6.06	4.4445	31.48
60	450_20_Sept	Unknown	3.307	4755.9544	88.6	57.6173	559.95	4.64	433.0139	6.24	4.0601	28.92
61	450_40_Sept	Unknown	3.307	4704.5937	90.07	56.995	554.65	4.647	324.2897	4.81	3.0406	21.85
62	450_80_Sept	Unknown	3.307	4855.2294	92.63	58.82	571.53	4.66	151.9775	2.24	1.425	10.31
63	450_120_Sept	Unknown	3.31	4298.2646	92.84	52.0725	508.28	4.663	82.9464	1.39	0.7777	5.35
64	451_10_Sept	Unknown	3.303	6393.8563	90.29	77.4601	746.86	4.633	540.9072	5.91	5.0717	35.54
65	451_20_Sept	Unknown	3.307	5528.0751	89.79	66.9713	647.32	4.637	470.4121	5.91	4.4107	31.22
66	451_40_Sept	Unknown	3.307	4969.1456	94.34	60.2	584.42	4.667	44.1047	0.65	0.4135	2.94
67	451_80_Sept	Unknown	3.307	4997.1629	92.71	60.5394	586.48	4.66	155.8144	2.24	1.461	10.56
68	451_80_Sept_DUP	Unknown	3.31	4902.8698	92.67	59.3971	576.35	4.663	153.5663	2.25	1.4399	10.4
69	451_120_Sept	Unknown	3.307	4507.33	93.75	54.6052	531.08	4.667	37.6973	0.61	0.3535	2.5
70	451_120_Sept_SPK	Spiked	3.307	4514.9035	90.92	54.3347	529.03	4.657	228.6935	3.56	2.1301	15.4
71	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
72	Standard 2	Check Standard	3.323	10.1072	92.42	12.2447	124.18	4.663	0.9902	7.01	0.9285	6.79
73	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
74	452_10_Sept	Unknown	3.307	6214.5875	89.21	75.2883	725.42	4.63	616.9372	6.85	5.7846	40.18
75	452_20_Sept	Unknown	3.303	5826.1609	89.93	70.5826	680.16	4.64	468.0091	5.59	4.3882	31.02
76	452_40_Sept	Unknown	3.307	5303.6979	92.38	64.253	621.2	4.657	207.7789	2.8	1.9482	14.06
77	452_80_Sept	Unknown	3.307	4930.2765	93.15	59.7291	579.69	4.663	101.8309	1.49	0.9548	6.62
78	452_120_Sept	Unknown	3.31	4716.3657	93.71	57.1377	554.64	4.667	75.4666	1.16	0.7076	4.86
79	453_10_Sept	Unknown	3.307	6090.3137	89.45	73.7827	711.09	4.633	581.0873	6.61	5.4485	38
80	453_20_Sept	Unknown	3.307	5576.4086	91.28	67.5569	652.24	4.643	340.4286	4.31	3.192	22.9
81	453_40_Sept	Unknown	3.307	5336.5735	94.34	64.6513	625.46	4.667	70.7013	0.97	0.6629	4.51
82	453_80_Sept	Unknown	3.307	4825.7973	94.64	58.4634	567.38	4.67	21.7539	0.33	0.204	1.39
83	453_80_Sept_DUP	Unknown	3.307	4888.6923	94.69	59.2253	574.27	4.67	22.118	0.33	0.2074	1.42
84	453_120_Sept	Unknown	3.307	4899.7494	94.05	59.3593	574.94	4.667	68.5926	1.02	0.6431	4.42
85	453_120_Sept_SPK	Spiked	3.307	4957.5944	91.49	59.6623	578.28	4.653	256.6737	3.67	2.3907	17.2
86	Lab Blank	Unknown	3.323	0.0153	37.75	0.0185	0.15	4.663	0.0008	1.61	0.0008	0.01
87	Standard 2	Check Standard	3.323	10.17	92.43	12.3208	124.67	4.663	0.9955	7	0.9334	6.82
88	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
89	460_10_Sept	Unknown	3.307	5216.2092	90.08	63.1931	611.83	4.647	384.8438	5.14	3.6084	25.73
90	460_20_Sept	Unknown	3.307	4914.987	89.52	59.5439	577.15	4.643	385.6452	5.44	3.6159	25.81
91	460_40_Sept	Unknown	3.31	4388.4764	91.16	53.1654	517.31	4.66	192.7283	3.1	1.8071	13.06
92	460_80_Sept	Unknown	3.307	4421.3164	92.39	53.5632	520.94	4.66	130.4696	2.11	1.2233	8.85
93	460_120_Sept	Unknown	3.307	4430.8254	93.2	53.6784	522.08	4.667	73.5619	1.2	0.6897	4.74
94	461_10_Sept	Unknown	3.307	5202.5042	89.67	63.0271	609.93	4.647	362.275	4.83	3.3968	24.22
95	461_20_Sept	Unknown	3.307	5232.8741	90.25	63.395	612.11	4.647	384.7707	5.14	3.6077	25.73
96	461_40_Sept	Unknown	3.303	5466.4031	91.9	66.2242	639.82	4.65	284.6147	3.7	2.6686	19.19
97	461_80_Sept	Unknown	3.307	4715.3758	92.11	57.1257	554.31	4.66	181.8429	2.75	1.705	12.31
98	461_80_Sept_DUP	Unknown	3.307	4705.859	92.08	57.0104	553.3	4.657	181.9735	2.76	1.7062	12.33
99	461_120_Sept	Unknown	3.307	4387.9169	93.2	53.1586	517.73	4.663	78.2517	1.29	0.7337	5.08
100	461_120_Sept_SPK	Spiked	3.31	4306.1705	90.28	51.8227	504.26	4.653	263.8007	4.28	2.4571	17.72
101	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102	Standard 2	Check Standard	3.323	10.1761	92.43	12.3282	124.61	4.663	0.9938	6.99	0.9318	6.82
103	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
104	462_10_Sept	Unknown	3.303	5617.4724	89.05	68.0543	657.12	4.633	541.6796	6.65	5.079	35.56
105	462_20_Sept	Unknown	3.307	4922.6011	91.61	59.6361	578.48	4.653	233.556	3.36	2.1899	15.77
106	462_40_Sept	Unknown	3.31	4941.3098	93.81	59.8628	579.4	4.653	68.4154	1.01	0.6415	4.41
107	462_80_Sept	Unknown	3.307	4695.6517	93.4	56.8867	552.53	4.66	75.7918	1.17	0.7106	4.92
108	462_120_Sept	Unknown	3.307	4407.052	93.25	53.3904	519.33	4.657	68.2206	1.12	0.6397	4.41
109	463_10_Sept	Unknown	3.3	6420.2507	89.47	77.7798	748.03	4.623	625.1855	6.74	5.8619	40.58
110	463_20_Sept	Unknown	3.307	5437.8984	92.67	65.8788	637.48	4.653	211.1481	2.78	1.9798	14.24
111	463_40_Sept	Unknown	3.307	5057.6288	94.77	61.272	593.4	4.667	11.155	0.16	0.1046	0.68
112	463_80_Sept	Unknown	3.307	4605.8335	94.45	55.7986	542.53	4.667	7.6289	0.12	0.0715	0.45
113	463_80_Sept_DUP	Unknown	3.307	4636.8135	94.48	56.1739	545.9	4.667	7.7751	0.12	0.0729	0.46
114	463_120_Sept	Unknown	3.307	4577.9345	92.37	55.4606	539.12	4.66	146.2988	2.28	1.3717	9.91
115	463_120_Sept_SPK	Spiked	3.307	4562.533	89.74	54.9079	533.84	4.643	332.039	5.05	3.0927	22.17
116	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
117	Standard 3	Check Standard	3.317	20.1761	92.7	24.4428	243.98	4.653	1.9697	7	1.8468	13.48
118	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	4.663	0.0146	35.8	0.0137	0.02
119	Standard 1	Calibration Standard	3.323	5.0699	91.92	6.142	62.72	4.667	0.4962	6.96	0.4653	3.36
120	Standard 2	Calibration Standard	3.323	10.169	92.43	12.3196	124.41	4.66	0.9924	6.98	0.9305	6.8
121	Standard 3	Calibration Standard	3.317	20.1107	92.69	24.3637	243.08	4.653	1.9645	7.01	1.8419	13.44
122	Standard 4	Calibration Standard	3.297	106.1789	92.79	128.6332	1227.97	4.6	10.5073	7.11	9.8519	64.06
123	Standard 5	Calibration Standard	3.297	196.8459	92.72	238.4741	2208.57	4.563	19.7822	7.21	18.5484	107.42
124	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	4.583	0.0108	30.19	0.0101	0.02
125	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
126	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
Maximum			3.327	7234.8369	96.81	238.4741	2208.57	4.697	625.1855	50.27	18.5484	109.07
Average			3.309	4254.4675	91.19	60.1688	581.64	4.65	173.862	5.5	2.2765	15.64
Minimum			3.297	0.0132	14.38	0.016	0.11	4.42	0.0008	0.1	0.0008	0.01
Standard Deviation			0.007	2100.927	9.57	33.7416	312.47	0.031	189.7593	8.33	3.0231	18.89
Relative Standard Deviation			0.20%	49.38%	10.50%	56.08%	53.72%	0.66%	109.14%	151.38%	132.79%	120.74%
