Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Ret.Time	Amount	Rel.Area 	Area	Height
26	L4_20	Unknown	4.533	455.5754	4.57	3.8429	24	3.297	6651.1962	92.27	77.522	662.26
27	L4_40	Unknown	4.527	651.452	6.52	5.4952	33.85	3.3	6578.5524	90.96	76.6753	654.92
28	L4_80	Unknown	4.537	489.8054	4.89	4.1317	25.78	3.297	6701.1083	92.46	78.1037	666.67
29	L5_20	Unknown	4.54	378.9721	4.44	3.1968	20.09	3.3	5681.7928	91.89	66.2233	566.19
30	L5_40	Unknown	4.53	513.9241	5.4	4.3351	26.96	3.297	6277.955	91.09	73.1717	624.89
31	L5_80	Unknown	4.537	400.073	4.53	3.3747	21.18	3.3	5873.5844	91.86	68.4587	585.05
32	L6_20	Unknown	4.537	368.4003	3.87	3.1076	19.54	3.293	6382.5512	92.61	74.3908	635.85
33	L6_40	Unknown	4.527	610.2728	6.11	5.1478	31.82	3.297	6548.8909	90.58	76.3296	651.43
34	L6_40_DUP	Unknown	4.527	607.5104	6.12	5.1245	31.69	3.297	6505.8521	90.56	75.828	647.97
35	L6_80	Unknown	4.53	553.689	5.78	4.6705	29.01	3.297	6284.7207	90.69	73.2506	626.12
36	L6_80_SPK	Spiked	4.52	739.1745	7.71	6.1939	37.91	3.297	6166.361	88.82	71.3951	609.66
37	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
38	Standard 1	Check Standard	4.553	0.4591	6.49	0.3873	2.61	3.313	4.776	93.31	5.5666	49.57
39	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
40	L7_20	Unknown	4.53	468.3	4.98	3.9503	24.66	3.297	6210.1002	91.27	72.3809	620.24
41	L7_40	Unknown	4.517	749.9613	7.48	6.3262	38.61	3.297	6475.6752	89.19	75.4762	644.45
42	L7_80	Unknown	4.527	584.9578	6.08	4.9343	30.55	3.297	6370.081	91.51	74.2455	633.38
43	L8_20	Unknown	4.537	388.5842	4.21	3.2778	20.6	3.297	6213.3354	93.1	72.4186	618.61
44	L8_40	Unknown	4.527	618.3179	6.51	5.2157	32.17	3.297	6286.0058	91.49	73.2656	625.32
45	L8_80	Unknown	4.527	634.5753	6.39	5.3528	33.02	3.297	6572.0641	91.44	76.5997	653.87
46	L9_20	Unknown	4.537	418.2171	4.46	3.5278	22.1	3.297	6327.9729	93.31	73.7547	628.87
47	L9_40	Unknown	4.523	644.7844	6.29	5.439	33.5	3.297	6791.5124	91.5	79.1574	674.69
48	L9_40_DUP	Unknown	4.527	629.5566	6.3	5.3105	32.72	3.297	6615.4674	91.47	77.1056	657.3
49	L9_80	Unknown	4.53	532.171	5.46	4.489	27.94	3.297	6510.7699	92.3	75.8853	648.39
50	L9_80_SPK	Spiked	4.52	714.2038	7.3	5.9846	36.68	3.297	6408.4155	90.49	74.1976	633.88
51	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
52	Standard 1	Check Standard	4.557	0.4665	6.58	0.3935	2.65	3.317	4.7812	93.21	5.5727	49.55
53	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
54	L10_20	Unknown	4.537	438.9346	4.76	3.7026	23.16	3.297	6203.4448	93.04	72.3033	617.92
55	L10_40	Unknown	4.527	601.8046	6.04	5.0764	31.38	3.297	6610.3256	91.65	77.0456	658.43
56	L10_80	Unknown	4.53	467.0818	4.84	3.94	24.55	3.297	6479.5655	92.7	75.5216	644.29
57	L11_20	Unknown	4.527	606.3878	6.46	5.1151	31.52	3.297	6178.9518	90.94	72.0178	614.67
58	L11_40	Unknown	4.52	741.0107	7.25	6.2507	38.1	3.297	6669.5911	90.13	77.7364	661.3
59	L11_80	Unknown	4.533	505.035	5.47	4.2601	26.5	3.297	6130.2109	91.74	71.4497	609.19
60	L12_20	Unknown	4.537	393.8834	4.35	3.3225	20.79	3.297	6075.0408	92.64	70.8067	604.05
61	L12_40	Unknown	4.527	647.329	6.52	5.4604	33.55	3.297	6531.0484	90.84	76.1216	649.05
62	L12_40_DUP	Unknown	4.523	647.0729	6.52	5.4583	33.53	3.297	6523.8964	90.84	76.0383	648.28
63	L12_80	Unknown	4.527	615.4126	6.28	5.1912	32	3.297	6467.5074	91.14	75.381	643.11
64	L12_80_SPK	Spiked	4.52	816.9275	8.2	6.8454	41.53	3.297	6435.2175	89.26	74.5079	634.68
65	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
66	Standard 2	Check Standard	4.553	1.0096	6.95	0.8516	5.57	3.313	9.7671	92.92	11.3839	99.99
67	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
68	L13_20	Unknown	4.537	448.2274	4.94	3.7809	23.6	3.297	6066.508	92.34	70.7072	604.08
69	L13_40	Unknown	4.523	612.5632	6.1	5.1672	31.87	3.297	6641.8399	91.33	77.4129	661.03
70	L13_80	Unknown	4.533	469.0182	5.07	3.9563	24.66	3.297	6138.8814	91.68	71.5508	610.81
71	L14_20	Unknown	4.533	508.9408	5.54	4.2931	26.69	3.297	6056.5737	91.13	70.5915	602.12
72	L14_40	Unknown	4.52	761.0164	7.44	6.4194	39.13	3.297	6653.6092	89.92	77.5501	661.15
73	L14_80	Unknown	4.527	572.1124	5.89	4.826	29.79	3.297	6424.4475	91.37	74.8792	638.16
74	L15_20	Unknown	4.54	256.3333	2.79	2.1623	13.68	3.297	6288.0902	94.59	73.2899	625.87
75	L15_40	Unknown	4.527	541.4836	5.57	4.5676	28.35	3.293	6458.7622	91.75	75.2791	642.7
76	L15_40_DUP	Unknown	4.527	567.0945	5.57	4.7836	29.62	3.297	6757.8681	91.77	78.7653	671.93
77	L15_80	Unknown	4.523	610.0902	6.02	5.1463	31.78	3.293	6708.0938	91.53	78.1851	666.57
78	L15_80_SPK	Spiked	4.517	770.1393	7.83	6.4534	39.26	3.297	6389.5336	89.74	73.979	631.18
79	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
80	Standard 2	Check Standard	4.547	1.0092	6.97	0.8513	5.59	3.313	9.7321	92.93	11.3431	99.84
81	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
82	L16_20	Unknown	4.533	440.0295	4.8	3.7118	23.24	3.297	6156.3781	92.79	71.7547	613.67
83	L16_40	Unknown	4.517	713.2303	6.98	6.0163	36.86	3.293	6718.0835	90.87	78.3016	668.34
84	L16_80	Unknown	4.517	762.8042	6.97	6.4345	39.21	3.293	7221.4228	91.12	84.1682	717.37
85	L17_20	Unknown	4.537	353.3454	4.33	2.9806	18.74	3.297	5498.8305	93.08	64.0908	548.5
86	L17_40	Unknown	4.533	433.3033	5.14	3.6551	22.87	3.297	5640.2318	92.38	65.7388	562.68
87	L17_80	Unknown	4.54	354.0818	4.9	2.9868	18.79	3.3	4793.1148	91.68	55.8654	479.22
88	L18_20	Unknown	4.54	258.9683	3.1	2.1845	13.84	3.297	5674.4392	93.77	66.1375	565.91
89	L18_40	Unknown	4.537	445.8201	5.07	3.7606	23.49	3.297	5848.3304	91.92	68.1643	582.06
90	L18_40_DUP	Unknown	4.533	435.4859	5.07	3.6735	22.95	3.297	5715.6038	91.91	66.6173	569.14
91	L18_80	Unknown	4.533	475.2008	5.42	4.0085	24.99	3.297	5805.9191	91.47	67.67	578.43
92	L18_80_SPK	Spiked	4.52	648.2688	7.45	5.4321	33.44	3.297	5633.7622	89.47	65.2286	558.84
93	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
94	Standard 2	Check Standard	4.55	1.0037	6.95	0.8467	5.57	3.313	9.7157	92.96	11.3239	99.78
95	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
96	L19_20	Unknown	4.55	83.4199	1	0.7037	4.6	3.297	5806.1166	95.87	67.6723	579.05
97	L19_40	Unknown	4.537	328.0433	3.63	2.7672	17.44	3.297	6111.0553	93.35	71.2265	609.91
98	L19_80	Unknown	4.537	330.9576	4.03	2.7917	17.59	3.297	5512.5684	92.74	64.2509	550.41
99	L20_20	Unknown	4.537	428.4323	4.16	3.614	22.65	3.297	6950.607	93.21	81.0117	690.93
100	L20_40	Unknown	4.52	757.6851	7.26	6.3913	39.01	3.297	6814.664	90.16	79.4273	677.13
101	L20_80	Unknown	4.517	711.7605	6.91	6.0039	36.79	3.293	6740.8263	90.41	78.5667	671.45
102	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
103	Standard 3	Check Standard	4.547	2.0683	7.12	1.7446	11.14	3.307	19.5344	92.88	22.768	198.49
104	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
105	Standard 1	Calibration Standard	4.55	0.4586	6.58	0.3869	2.62	3.313	4.7158	93.42	5.4964	48.9
106	Standard 2	Calibration Standard	4.55	1.0002	6.99	0.8437	5.55	3.31	9.6197	92.91	11.2121	98.85
107	Standard 3	Calibration Standard	4.543	2.058	7.12	1.736	11.11	3.307	19.4416	92.88	22.6598	197.62
108	Standard 4	Calibration Standard	4.503	10.7174	7.23	9.0405	53.87	3.29	99.4526	92.77	115.9155	986.35
109	Standard 5	Calibration Standard	4.467	19.7619	6.65	16.6698	93.09	3.29	200.9228	93.35	234.1824	1949.84
110	Lab Blank	Unknown	4.55	0.0012	3.27	0.001	0.01	3.317	0.0122	46	0.0143	0.09
111	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
112	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
Maximum			4.563	816.9275	8.2	16.6698	93.09	3.317	7221.4228	95.87	234.1824	1949.84
Average			4.532	415.8866	5.64	4.1905	25.74	3.299	5056.1769	91.49	68.2405	581.84
Minimum			4.467	0.0012	1	0.001	0.01	3.29	0.0122	46	0.0143	0.09
Standard Deviation			0.015	249.5784	1.41	2.6903	15.39	0.006	2548.9093	5.02	35.1336	293.21
Relative Standard Deviation			0.33%	60.01%	25.05%	64.20%	59.81%	0.19%	50.41%	5.49%	51.48%	50.39%
